Case ID,Activity,Complete Timestamp,Variant,Variant index
Logistics,398439821082970,2018/01/22 16:02:00.000,Variant 3,3
Logistics,893499226456112,2018/01/22 16:02:00.000,Variant 3,3
Logistics,6850472837149,2018/01/22 16:07:00.000,Variant 3,3
Logistics,6850472837148,2018/01/22 16:07:00.000,Variant 3,3
Logistics,398439821082973,2018/01/22 16:14:00.000,Variant 3,3
Logistics,458504938717229,2018/01/22 16:14:00.000,Variant 3,3
Logistics,398439821082972,2018/01/22 16:14:00.000,Variant 3,3
Logistics,4196183048220,2018/01/22 16:16:00.000,Variant 3,3
Logistics,398439821082975,2018/01/22 16:16:00.000,Variant 3,3
Logistics,398439821082974,2018/01/22 16:16:00.000,Variant 3,3
Logistics,4174708211717,2018/01/22 16:17:00.000,Variant 3,3
Logistics,890518519152647,2018/01/22 16:17:00.000,Variant 3,3
Logistics,4191888080922,2018/01/22 16:18:00.000,Variant 3,3
Logistics,15182709391410,2018/01/22 16:18:00.000,Variant 3,3
Logistics,244813135893,2018/01/22 16:18:00.000,Variant 3,3
Logistics,4045859192894,2018/01/22 16:18:00.000,Variant 3,3
Logistics,4045859192895,2018/01/22 16:18:00.000,Variant 3,3
Logistics,9272834392077,2018/01/22 16:18:00.000,Variant 3,3
Logistics,14547054231565,2018/01/22 16:19:00.000,Variant 3,3
Logistics,4153233375276,2018/01/22 16:19:00.000,Variant 3,3
Logistics,57037165690888,2018/01/22 16:19:00.000,Variant 3,3
Logistics,49778670960645,2018/01/22 16:19:00.000,Variant 3,3
Logistics,57050050592801,2018/01/22 16:19:00.000,Variant 3,3
Logistics,4084513898603,2018/01/22 16:19:00.000,Variant 3,3
Logistics,9332963934217,2018/01/22 16:19:00.000,Variant 3,3
Logistics,15251428868113,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39883066310703,2018/01/22 16:19:00.000,Variant 3,3
Logistics,70970039599179,2018/01/22 16:19:00.000,Variant 3,3
Logistics,15234248998999,2018/01/22 16:19:00.000,Variant 3,3
Logistics,27586574942261,2018/01/22 16:19:00.000,Variant 3,3
Logistics,34342558498820,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39741332389898,2018/01/22 16:19:00.000,Variant 3,3
Logistics,15255723835429,2018/01/22 16:19:00.000,Variant 3,3
Logistics,57032870723730,2018/01/22 16:19:00.000,Variant 3,3
Logistics,71128953389080,2018/01/22 16:19:00.000,Variant 3,3
Logistics,15264313769995,2018/01/22 16:19:00.000,Variant 3,3
Logistics,71133248356405,2018/01/22 16:19:00.000,Variant 3,3
Logistics,14246406520857,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39926015983624,2018/01/22 16:19:00.000,Variant 3,3
Logistics,57058640527416,2018/01/22 16:19:00.000,Variant 3,3
Logistics,129261335740420,2018/01/22 16:19:00.000,Variant 3,3
Logistics,57054345560071,2018/01/22 16:19:00.000,Variant 3,3
Logistics,15191299325960,2018/01/22 16:19:00.000,Variant 3,3
Logistics,21358872363021,2018/01/22 16:19:00.000,Variant 3,3
Logistics,9307194130451,2018/01/22 16:19:00.000,Variant 3,3
Logistics,91830695755790,2018/01/22 16:19:00.000,Variant 3,3
Logistics,23944442675226,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39642548142097,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39711267618851,2018/01/22 16:19:00.000,Variant 3,3
Logistics,71124658421769,2018/01/22 16:19:00.000,Variant 3,3
Logistics,15238543966213,2018/01/22 16:19:00.000,Variant 3,3
Logistics,4123168604165,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39724152520709,2018/01/22 16:19:00.000,Variant 3,3
Logistics,9272834392078,2018/01/22 16:19:00.000,Variant 3,3
Logistics,86608015523846,2018/01/22 16:19:00.000,Variant 3,3
Logistics,71893457567793,2018/01/22 16:19:00.000,Variant 3,3
Logistics,39346195398744,2018/01/22 16:19:00.000,Variant 3,3
Logistics,9350143803406,2018/01/22 16:19:00.000,Variant 3,3
Logistics,398439821082976,2018/01/22 16:21:00.000,Variant 3,3
Logistics,398439821082977,2018/01/22 16:21:00.000,Variant 3,3
Logistics,215555818651659,2018/01/22 16:22:00.000,Variant 3,3
Logistics,398439821082978,2018/01/22 16:28:00.000,Variant 3,3
Logistics,398439821082979,2018/01/22 16:28:00.000,Variant 3,3
Logistics,4144643440760,2018/01/22 16:28:00.000,Variant 3,3
Logistics,29622389440520,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440515,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440516,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440517,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440513,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440519,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440521,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440518,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440514,2018/01/22 16:30:00.000,Variant 3,3
Logistics,29622389440532,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440543,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440563,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440544,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440558,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440549,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440538,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440534,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440553,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440548,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440528,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440550,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440533,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440529,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440527,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440554,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440525,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440555,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440559,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440556,2018/01/22 16:31:00.000,Variant 3,3
Logistics,29622389440560,2018/01/22 16:31:00.000,Variant 3,3
