Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) AMOUNT_REQ,concept:name,lifecycle:transition
194767,W_Completeren aanvraag-START,11122,2011/12/28 02:07:18.178,Variant 139,139,6000,W_Completeren aanvraag,START
194767,W_Completeren aanvraag-COMPLETE,11122,2011/12/28 02:08:32.676,Variant 139,139,6000,W_Completeren aanvraag,COMPLETE
194767,W_Completeren aanvraag-START,10939,2011/12/30 00:42:11.428,Variant 139,139,6000,W_Completeren aanvraag,START
194767,W_Completeren aanvraag-COMPLETE,10939,2011/12/30 00:44:05.853,Variant 139,139,6000,W_Completeren aanvraag,COMPLETE
194767,W_Completeren aanvraag-START,10861,2011/12/30 17:29:37.140,Variant 139,139,6000,W_Completeren aanvraag,START
194767,W_Completeren aanvraag-COMPLETE,10861,2011/12/30 17:31:14.244,Variant 139,139,6000,W_Completeren aanvraag,COMPLETE
194767,A_CANCELLED-COMPLETE,112,2012/01/20 15:15:15.307,Variant 139,139,6000,A_CANCELLED,COMPLETE
194767,W_Completeren aanvraag-COMPLETE,10861,2012/01/20 15:15:15.308,Variant 139,139,6000,W_Completeren aanvraag,COMPLETE
194770,A_SUBMITTED-COMPLETE,112,2011/12/21 02:55:04.149,Variant 335,335,8700,A_SUBMITTED,COMPLETE
194770,A_PARTLYSUBMITTED-COMPLETE,112,2011/12/21 02:55:04.443,Variant 335,335,8700,A_PARTLYSUBMITTED,COMPLETE
194770,W_Afhandelen leads-SCHEDULE,112,2011/12/21 02:55:12.416,Variant 335,335,8700,W_Afhandelen leads,SCHEDULE
194770,W_Afhandelen leads-START,10913,2011/12/21 02:57:43.144,Variant 335,335,8700,W_Afhandelen leads,START
194770,W_Afhandelen leads-COMPLETE,10913,2011/12/21 02:57:46.572,Variant 335,335,8700,W_Afhandelen leads,COMPLETE
194770,W_Afhandelen leads-START,11189,2011/12/21 14:53:30.270,Variant 335,335,8700,W_Afhandelen leads,START
194770,A_PREACCEPTED-COMPLETE,11189,2011/12/21 15:00:24.352,Variant 335,335,8700,A_PREACCEPTED,COMPLETE
194770,W_Completeren aanvraag-SCHEDULE,11189,2011/12/21 15:00:24.491,Variant 335,335,8700,W_Completeren aanvraag,SCHEDULE
194770,W_Afhandelen leads-COMPLETE,11189,2011/12/21 15:00:25.595,Variant 335,335,8700,W_Afhandelen leads,COMPLETE
194770,W_Completeren aanvraag-START,11019,2011/12/21 20:28:54.495,Variant 335,335,8700,W_Completeren aanvraag,START
194770,W_Completeren aanvraag-COMPLETE,11019,2011/12/21 20:41:08.609,Variant 335,335,8700,W_Completeren aanvraag,COMPLETE
194770,W_Completeren aanvraag-START,11019,2011/12/21 20:55:46.767,Variant 335,335,8700,W_Completeren aanvraag,START
194770,W_Completeren aanvraag-COMPLETE,11019,2011/12/21 20:59:22.391,Variant 335,335,8700,W_Completeren aanvraag,COMPLETE
194770,W_Completeren aanvraag-START,11019,2011/12/22 01:59:12.676,Variant 335,335,8700,W_Completeren aanvraag,START
194770,A_CANCELLED-COMPLETE,11019,2011/12/22 02:02:02.889,Variant 335,335,8700,A_CANCELLED,COMPLETE
194770,W_Completeren aanvraag-COMPLETE,11019,2011/12/22 02:02:04.257,Variant 335,335,8700,W_Completeren aanvraag,COMPLETE
194773,A_SUBMITTED-COMPLETE,112,2011/12/21 03:19:11.052,Variant 1,1,47500,A_SUBMITTED,COMPLETE
194773,A_PARTLYSUBMITTED-COMPLETE,112,2011/12/21 03:19:11.454,Variant 1,1,47500,A_PARTLYSUBMITTED,COMPLETE
194773,A_DECLINED-COMPLETE,112,2011/12/21 03:19:53.070,Variant 1,1,47500,A_DECLINED,COMPLETE
194776,A_SUBMITTED-COMPLETE,112,2011/12/21 03:24:02.694,Variant 2,2,13431,A_SUBMITTED,COMPLETE
194776,A_PARTLYSUBMITTED-COMPLETE,112,2011/12/21 03:24:02.784,Variant 2,2,13431,A_PARTLYSUBMITTED,COMPLETE
194776,W_Afhandelen leads-SCHEDULE,112,2011/12/21 03:24:13.497,Variant 2,2,13431,W_Afhandelen leads,SCHEDULE
194776,W_Afhandelen leads-START,11189,2011/12/21 15:08:37.633,Variant 2,2,13431,W_Afhandelen leads,START
194776,A_DECLINED-COMPLETE,11189,2011/12/21 15:12:34.818,Variant 2,2,13431,A_DECLINED,COMPLETE
194776,W_Afhandelen leads-COMPLETE,11189,2011/12/21 15:12:38.052,Variant 2,2,13431,W_Afhandelen leads,COMPLETE
194779,A_SUBMITTED-COMPLETE,112,2011/12/21 03:24:10.112,Variant 315,315,10000,A_SUBMITTED,COMPLETE
194779,A_PARTLYSUBMITTED-COMPLETE,112,2011/12/21 03:24:10.395,Variant 315,315,10000,A_PARTLYSUBMITTED,COMPLETE
194779,W_Afhandelen leads-SCHEDULE,112,2011/12/21 03:24:22.322,Variant 315,315,10000,W_Afhandelen leads,SCHEDULE
194779,W_Afhandelen leads-START,11189,2011/12/21 15:00:38.074,Variant 315,315,10000,W_Afhandelen leads,START
194779,A_PREACCEPTED-COMPLETE,11189,2011/12/21 15:02:46.400,Variant 315,315,10000,A_PREACCEPTED,COMPLETE
194779,W_Completeren aanvraag-SCHEDULE,11189,2011/12/21 15:02:46.518,Variant 315,315,10000,W_Completeren aanvraag,SCHEDULE
194779,W_Afhandelen leads-COMPLETE,11189,2011/12/21 15:02:48.317,Variant 315,315,10000,W_Afhandelen leads,COMPLETE
194779,W_Completeren aanvraag-START,11189,2011/12/21 15:35:26.219,Variant 315,315,10000,W_Completeren aanvraag,START
194779,W_Completeren aanvraag-COMPLETE,11189,2011/12/21 15:37:43.177,Variant 315,315,10000,W_Completeren aanvraag,COMPLETE
194779,W_Completeren aanvraag-START,10909,2011/12/21 17:01:13.398,Variant 315,315,10000,W_Completeren aanvraag,START
194779,A_ACCEPTED-COMPLETE,10909,2011/12/21 17:09:11.743,Variant 315,315,10000,A_ACCEPTED,COMPLETE
194779,A_CANCELLED-COMPLETE,10909,2011/12/21 17:28:47.497,Variant 315,315,10000,A_CANCELLED,COMPLETE
194779,W_Completeren aanvraag-COMPLETE,10909,2011/12/21 17:28:49.565,Variant 315,315,10000,W_Completeren aanvraag,COMPLETE
194782,A_SUBMITTED-COMPLETE,112,2011/12/21 03:51:11.925,Variant 1,1,600,A_SUBMITTED,COMPLETE
194782,A_PARTLYSUBMITTED-COMPLETE,112,2011/12/21 03:51:12.073,Variant 1,1,600,A_PARTLYSUBMITTED,COMPLETE
194782,A_DECLINED-COMPLETE,112,2011/12/21 03:51:47.203,Variant 1,1,600,A_DECLINED,COMPLETE
194785,A_SUBMITTED-COMPLETE,112,2011/12/21 03:51:36.371,Variant 521,521,6000,A_SUBMITTED,COMPLETE
194785,A_PARTLYSUBMITTED-COMPLETE,112,2011/12/21 03:51:36.609,Variant 521,521,6000,A_PARTLYSUBMITTED,COMPLETE
194785,A_PREACCEPTED-COMPLETE,112,2011/12/21 03:52:08.928,Variant 521,521,6000,A_PREACCEPTED,COMPLETE
194785,W_Completeren aanvraag-SCHEDULE,112,2011/12/21 03:52:09.277,Variant 521,521,6000,W_Completeren aanvraag,SCHEDULE
194785,W_Completeren aanvraag-START,11189,2011/12/21 15:56:27.905,Variant 521,521,6000,W_Completeren aanvraag,START
194785,W_Completeren aanvraag-COMPLETE,11189,2011/12/21 16:00:39.531,Variant 521,521,6000,W_Completeren aanvraag,COMPLETE
194785,W_Completeren aanvraag-START,11019,2011/12/21 21:08:23.402,Variant 521,521,6000,W_Completeren aanvraag,START
194785,W_Completeren aanvraag-COMPLETE,11019,2011/12/21 21:15:50.367,Variant 521,521,6000,W_Completeren aanvraag,COMPLETE
194785,W_Completeren aanvraag-START,11002,2011/12/21 22:38:16.172,Variant 521,521,6000,W_Completeren aanvraag,START
194785,A_ACCEPTED-COMPLETE,11002,2011/12/21 22:41:55.446,Variant 521,521,6000,A_ACCEPTED,COMPLETE
194785,O_SELECTED-COMPLETE,11002,2011/12/21 22:48:43.524,Variant 521,521,6000,O_SELECTED,COMPLETE
194785,A_FINALIZED-COMPLETE,11002,2011/12/21 22:48:43.524,Variant 521,521,6000,A_FINALIZED,COMPLETE
194785,O_CREATED-COMPLETE,11002,2011/12/21 22:48:45.139,Variant 521,521,6000,O_CREATED,COMPLETE
194785,O_SENT-COMPLETE,11002,2011/12/21 22:48:45.179,Variant 521,521,6000,O_SENT,COMPLETE
194785,W_Nabellen offertes-SCHEDULE,11002,2011/12/21 22:48:45.451,Variant 521,521,6000,W_Nabellen offertes,SCHEDULE
194785,W_Completeren aanvraag-COMPLETE,11002,2011/12/21 22:48:48.069,Variant 521,521,6000,W_Completeren aanvraag,COMPLETE
